period_end,period_year,period_month,period_label,period_short,hoofdberoepsgroep,beroepsgroep,vacatures
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Transport- en logistieke beroepen,"Werknemers spoor-, water-, luchttransport",15
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Dienstverlenende beroepen,Persoonlijke dienstverleners,11
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Organisatieondersteunende en kennisberoepen,Specialisten kennisbeheer en communicatie,11
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Pedagogische beroepen,Onderwijzend en leidinggevend personeel in onderwijs,6
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Pedagogische beroepen,Opvoedkundig personeel,5
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,"Medische, paramedische en verzorgende beroepen","Verpleegkundigen, vroedvrouwen en zorgpersoneel",4
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industriële beroepen en ambachten,Beoefenaars van ambachten,3
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industriële beroepen en ambachten,Confectie- en lederwerkers,2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Industriële beroepen en ambachten,Precisietechniekers,2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,"Medische, paramedische en verzorgende beroepen",Medisch personeel,2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Vrijetijds- en artistieke beroepen,"Artiesten, kunstenaars en andere culturele beroepen",2
2021-12-31,2021,12,januari 2021 - december 2021,Dec 2021,Dienstverlenende beroepen,Publieke dienstverleners,1
